countrycode,year,Y,K,L,A,PA,gY,gK,gL,gA,gPA
CAN,1980,687911.0625,0.27238938212394714,62465.89964928595,0.981520414352417,1240.1277465820312,NA,NA,NA,NA,NA
CAN,1981,711280.5625,0.28899773955345154,64049.63942346747,0.9797945618629456,1362.6773986816406,3.3407394685161407,5.918627193880988,2.5037596482681224,-0.17598936997339776,9.423704419940027
CAN,1982,693443.5,0.2999850511550904,61399.55101453861,0.9661703109741212,1332.7047424316406,-2.539718900470156,3.7313777464150544,-4.2255876057147645,-1.400279490813559,-2.2240921835886773
CAN,1983,717049.3125,0.31063657999038696,62030.71146622245,0.9737986326217652,1423.3825836181643,3.3474848749603936,3.489103187150633,1.0227085971479255,0.7864415551405195,6.582562193619967
CAN,1984,767394.6875,0.32171061635017395,64472.86129144667,0.9934467077255248,1569.370361328125,6.785664067752606,3.5028758674983784,3.8614771457021746,1.99758800323623,9.763835513318408
CAN,1985,786765.75,0.33433258533477783,67462.80613365046,0.996713638305664,1565.4600067138672,2.4929299747112665,3.8483827529378845,4.533204568076243,0.3283085728322577,-0.24947803761694587
CAN,1986,801484.1875,0.3464019298553467,70187.77555146851,0.9799067974090576,1757.3627319335942,1.8534688411268263,3.5463485841196185,3.9597732655787254,-1.700604288363313,11.563452268498065
CAN,1987,858473.25,0.3605154156684876,73162.17704012821,0.9788544178009032,2070.821350097656,6.869027763264235,3.993496987184808,4.150442190146286,-0.10745359886048973,16.41310785752985
CAN,1988,901253.1875,0.3775585889816284,76221.36003054409,0.9793502688407898,2189.4439086914067,4.863070449358631,4.619104152618958,4.096315844698495,0.0506434341483248,5.5702272547821785
CAN,1989,934353.75,0.39488428831100464,78022.85073218908,0.9723423719406128,2348.4635925292973,3.6068888498109075,4.486702175398982,2.33600031176735,-0.7181383862891827,7.01137353162995
CAN,1990,941469.375,0.4096187651157379,78513.031741076,0.9591342210769652,2239.0594482421875,0.7586705841601926,3.6634104946014934,0.6262878560045593,-1.3676952444304527,-4.770543541764294
CAN,1991,917014,0.4219096601009369,76717.8345368489,0.947123885154724,2192.5396728515625,-2.6319080371628445,2.9564329581618254,-2.3130415810324934,-1.2601121335652283,-2.0995348609548437
CAN,1992,925953.8125,0.432925820350647,76367.51284198326,0.9523742198944092,2285.461334228516,0.9701615576991784,2.5775182210513004,-0.45768234829601795,0.5528142509573453,4.150736088381901
CAN,1993,947825.9375,0.4437098205089569,77412.80816235435,0.9616559743881226,2799.482208251953,2.334652027204598,2.460439361934341,1.359486588163783,0.9698726048210087,20.286657367052463
CAN,1994,993124.5,0.4572273194789887,80055.74722520447,0.972710132598877,3106.159210205078,4.668515866502432,3.0009892668293014,3.357098526932667,1.1429355078578955,10.3952507876655
CAN,1995,1042290.125,0.4705076515674591,81843.46604049426,0.9751095771789552,3685.8794555664062,4.831958063117625,2.863153749677849,2.2085239861555195,0.24637247294912665,17.112217306127242
CAN,1996,1068538.625,0.486632376909256,83817.28350651126,0.9645129442214966,3922.4609375,2.487160845185521,3.36967436230311,2.3830761146422574,-1.0926598622661283,6.221009160919344
CAN,1997,1111285.875,0.5076740980148315,85874.12266552744,0.9759523272514344,4809.875549316406,3.9225846858993663,4.233073721685643,2.4243300760817377,1.179048728039977,20.395196345683253
CAN,1998,1127568.75,0.5332584381103516,88231.26639250582,0.9799343347549438,5060.64013671875,1.4545975356071494,4.9166478792480595,2.7078860363349833,0.40718238766933973,5.082177407075328
CAN,1999,1208232,0.5587134957313538,91193.46151319264,0.9926905632019044,5357.050537109375,6.909436790742696,4.663063061346506,3.3021806135257847,1.2933433289624694,5.692056616893382
CAN,2000,1284667.375,0.5823113322257996,93589.1814676358,1.0120609998703003,5630.115905761719,6.134169864616368,4.136842803141327,2.5931593616771664,1.9325127225347345,4.9716478409084885
CAN,2001,1273725.25,0.6048113107681274,94054.61907160784,1.0135129690170288,5660.772766113281,-0.8553958147613727,3.7911286556787327,0.49608732841619485,0.1433637495069211,0.5430384902258112
CAN,2002,1282036.25,0.6238676905632019,95642.2316698657,1.0217574834823608,5793.776123046875,0.6503759678267329,3.1021785175796177,1.6738808904934288,0.8101684521378214,2.322384514313036
